City,Post,Cleaned_Post
Mumbai,Accident reported near Powai. Expect delays.,accident reported near powai expect delays
Bangalore,"Police checkpoint near Indiranagar, causing minor delays.",police checkpoint near indiranagar causing minor delays
Bangalore,Rain causing waterlogging near Indiranagar. Drive carefully!,rain causing waterlogging near indiranagar drive carefully
Mumbai,"Road construction near Andheri, causing slow traffic.",road construction near andheri causing slow traffic
Hyderabad,Rain causing waterlogging near Gachibowli. Drive carefully!,rain causing waterlogging near gachibowli drive carefully
Mumbai,"Road construction near Colaba, causing slow traffic.",road construction near colaba causing slow traffic
Delhi,"Avoid Karol Bagh if possible, traffic jam reported.",avoid karol bagh possible traffic jam reported
Bangalore,Rain causing waterlogging near Marathahalli. Drive carefully!,rain causing waterlogging near marathahalli drive carefully
Bangalore,Accident reported near Electronic City. Expect delays.,accident reported near electronic city expect delays
Mumbai,Peak hour traffic near Bandra. Plan accordingly.,peak hour traffic near bandra plan accordingly
Hyderabad,"Police checkpoint near Jubilee Hills, causing minor delays.",police checkpoint near jubilee hills causing minor delays
Bangalore,Marathahalli route is experiencing high traffic volume.,marathahalli route experiencing high traffic volume
Hyderabad,"Traffic is heavy near Jubilee Hills, please take another route.",traffic heavy near jubilee hills please take another route
Hyderabad,Peak hour traffic near Secunderabad. Plan accordingly.,peak hour traffic near secunderabad plan accordingly
Mumbai,Powai route is experiencing high traffic volume.,powai route experiencing high traffic volume
Bangalore,"Traffic moving smoothly near Electronic City, all clear!",traffic moving smoothly near electronic city clear
Bangalore,"Traffic is heavy near Electronic City, please take another route.",traffic heavy near electronic city please take another route
Bangalore,"Avoid Kasavanahalli if possible, traffic jam reported.",avoid kasavanahalli possible traffic jam reported
Delhi,"Traffic moving smoothly near Dwarka, all clear!",traffic moving smoothly near dwarka clear
Delhi,"Traffic moving smoothly near Karol Bagh, all clear!",traffic moving smoothly near karol bagh clear
Hyderabad,Peak hour traffic near Gachibowli. Plan accordingly.,peak hour traffic near gachibowli plan accordingly
Mumbai,Accident reported near Colaba. Expect delays.,accident reported near colaba expect delays
Mumbai,Colaba route is experiencing high traffic volume.,colaba route experiencing high traffic volume
Bangalore,Koramangala route is experiencing high traffic volume.,koramangala route experiencing high traffic volume
Bangalore,"Traffic is heavy near Kasavanahalli, please take another route.",traffic heavy near kasavanahalli please take another route
Bangalore,"Police checkpoint near Electronic City, causing minor delays.",police checkpoint near electronic city causing minor delays
Hyderabad,"Road construction near Banjara Hills, causing slow traffic.",road construction near banjara hills causing slow traffic
Mumbai,"Avoid Dadar if possible, traffic jam reported.",avoid dadar possible traffic jam reported
Delhi,Vehicle breakdown near Connaught Place causing congestion.,vehicle breakdown near connaught place causing congestion
Hyderabad,"Road construction near Hitech City, causing slow traffic.",road construction near hitech city causing slow traffic
Mumbai,"Avoid Bandra if possible, traffic jam reported.",avoid bandra possible traffic jam reported
Bangalore,"Road construction near Kasavanahalli, causing slow traffic.",road construction near kasavanahalli causing slow traffic
Delhi,Connaught Place route is experiencing high traffic volume.,connaught place route experiencing high traffic volume
Delhi,"Police checkpoint near Karol Bagh, causing minor delays.",police checkpoint near karol bagh causing minor delays
Hyderabad,"Police checkpoint near Secunderabad, causing minor delays.",police checkpoint near secunderabad causing minor delays
Hyderabad,"Road construction near Gachibowli, causing slow traffic.",road construction near gachibowli causing slow traffic
Hyderabad,"Avoid Secunderabad if possible, traffic jam reported.",avoid secunderabad possible traffic jam reported
Delhi,Chandni Chowk route is experiencing high traffic volume.,chandni chowk route experiencing high traffic volume
Delhi,Peak hour traffic near Chandni Chowk. Plan accordingly.,peak hour traffic near chandni chowk plan accordingly
Hyderabad,"Avoid Banjara Hills if possible, traffic jam reported.",avoid banjara hills possible traffic jam reported
Bangalore,"Traffic moving smoothly near Marathahalli, all clear!",traffic moving smoothly near marathahalli clear
Bangalore,"Police checkpoint near Marathahalli, causing minor delays.",police checkpoint near marathahalli causing minor delays
Delhi,"Police checkpoint near Saket, causing minor delays.",police checkpoint near saket causing minor delays
Hyderabad,Accident reported near Hitech City. Expect delays.,accident reported near hitech city expect delays
Hyderabad,"Traffic moving smoothly near Secunderabad, all clear!",traffic moving smoothly near secunderabad clear
Hyderabad,Rain causing waterlogging near Secunderabad. Drive carefully!,rain causing waterlogging near secunderabad drive carefully
Hyderabad,Peak hour traffic near Jubilee Hills. Plan accordingly.,peak hour traffic near jubilee hills plan accordingly
Hyderabad,Secunderabad route is experiencing high traffic volume.,secunderabad route experiencing high traffic volume
Bangalore,"Traffic moving smoothly near Kasavanahalli, all clear!",traffic moving smoothly near kasavanahalli clear
Mumbai,Vehicle breakdown near Andheri causing congestion.,vehicle breakdown near andheri causing congestion
Bangalore,"Road construction near Indiranagar, causing slow traffic.",road construction near indiranagar causing slow traffic
Delhi,Rain causing waterlogging near Karol Bagh. Drive carefully!,rain causing waterlogging near karol bagh drive carefully
Mumbai,"Police checkpoint near Powai, causing minor delays.",police checkpoint near powai causing minor delays
Delhi,Vehicle breakdown near Dwarka causing congestion.,vehicle breakdown near dwarka causing congestion
Mumbai,Vehicle breakdown near Dadar causing congestion.,vehicle breakdown near dadar causing congestion
Hyderabad,Accident reported near Banjara Hills. Expect delays.,accident reported near banjara hills expect delays
Mumbai,"Traffic is heavy near Powai, please take another route.",traffic heavy near powai please take another route
Delhi,"Avoid Connaught Place if possible, traffic jam reported.",avoid connaught place possible traffic jam reported
Hyderabad,Vehicle breakdown near Jubilee Hills causing congestion.,vehicle breakdown near jubilee hills causing congestion
Bangalore,"Traffic is heavy near Indiranagar, please take another route.",traffic heavy near indiranagar please take another route
Hyderabad,Rain causing waterlogging near Banjara Hills. Drive carefully!,rain causing waterlogging near banjara hills drive carefully
Delhi,Accident reported near Saket. Expect delays.,accident reported near saket expect delays
Mumbai,"Traffic moving smoothly near Powai, all clear!",traffic moving smoothly near powai clear
Delhi,Peak hour traffic near Connaught Place. Plan accordingly.,peak hour traffic near connaught place plan accordingly
Bangalore,Peak hour traffic near Marathahalli. Plan accordingly.,peak hour traffic near marathahalli plan accordingly
Bangalore,"Traffic is heavy near Koramangala, please take another route.",traffic heavy near koramangala please take another route
Delhi,"Road construction near Saket, causing slow traffic.",road construction near saket causing slow traffic
Bangalore,"Police checkpoint near Koramangala, causing minor delays.",police checkpoint near koramangala causing minor delays
Bangalore,Peak hour traffic near Koramangala. Plan accordingly.,peak hour traffic near koramangala plan accordingly
Hyderabad,"Traffic is heavy near Secunderabad, please take another route.",traffic heavy near secunderabad please take another route
Delhi,"Police checkpoint near Connaught Place, causing minor delays.",police checkpoint near connaught place causing minor delays
Delhi,Rain causing waterlogging near Chandni Chowk. Drive carefully!,rain causing waterlogging near chandni chowk drive carefully
Mumbai,"Traffic moving smoothly near Andheri, all clear!",traffic moving smoothly near andheri clear
Delhi,"Traffic is heavy near Dwarka, please take another route.",traffic heavy near dwarka please take another route
Bangalore,Vehicle breakdown near Kasavanahalli causing congestion.,vehicle breakdown near kasavanahalli causing congestion
Hyderabad,Peak hour traffic near Hitech City. Plan accordingly.,peak hour traffic near hitech city plan accordingly
Bangalore,Rain causing waterlogging near Electronic City. Drive carefully!,rain causing waterlogging near electronic city drive carefully
Delhi,"Avoid Saket if possible, traffic jam reported.",avoid saket possible traffic jam reported
Delhi,"Traffic is heavy near Chandni Chowk, please take another route.",traffic heavy near chandni chowk please take another route
Mumbai,"Road construction near Dadar, causing slow traffic.",road construction near dadar causing slow traffic
Mumbai,Bandra route is experiencing high traffic volume.,bandra route experiencing high traffic volume
Bangalore,"Avoid Koramangala if possible, traffic jam reported.",avoid koramangala possible traffic jam reported
Bangalore,Indiranagar route is experiencing high traffic volume.,indiranagar route experiencing high traffic volume
Delhi,"Traffic moving smoothly near Connaught Place, all clear!",traffic moving smoothly near connaught place clear
Delhi,"Road construction near Chandni Chowk, causing slow traffic.",road construction near chandni chowk causing slow traffic
Delhi,Rain causing waterlogging near Dwarka. Drive carefully!,rain causing waterlogging near dwarka drive carefully
Mumbai,Vehicle breakdown near Bandra causing congestion.,vehicle breakdown near bandra causing congestion
Bangalore,"Avoid Electronic City if possible, traffic jam reported.",avoid electronic city possible traffic jam reported
Mumbai,Rain causing waterlogging near Colaba. Drive carefully!,rain causing waterlogging near colaba drive carefully
Bangalore,"Traffic is heavy near Marathahalli, please take another route.",traffic heavy near marathahalli please take another route
Mumbai,Accident reported near Dadar. Expect delays.,accident reported near dadar expect delays
Hyderabad,"Avoid Hitech City if possible, traffic jam reported.",avoid hitech city possible traffic jam reported
Bangalore,Vehicle breakdown near Koramangala causing congestion.,vehicle breakdown near koramangala causing congestion
Mumbai,Rain causing waterlogging near Bandra. Drive carefully!,rain causing waterlogging near bandra drive carefully
Hyderabad,"Traffic moving smoothly near Jubilee Hills, all clear!",traffic moving smoothly near jubilee hills clear
Mumbai,Andheri route is experiencing high traffic volume.,andheri route experiencing high traffic volume
Mumbai,"Traffic moving smoothly near Dadar, all clear!",traffic moving smoothly near dadar clear
Delhi,Peak hour traffic near Karol Bagh. Plan accordingly.,peak hour traffic near karol bagh plan accordingly
Delhi,Rain causing waterlogging near Saket. Drive carefully!,rain causing waterlogging near saket drive carefully
Hyderabad,Rain causing waterlogging near Hitech City. Drive carefully!,rain causing waterlogging near hitech city drive carefully
Hyderabad,Jubilee Hills route is experiencing high traffic volume.,jubilee hills route experiencing high traffic volume
Mumbai,Vehicle breakdown near Colaba causing congestion.,vehicle breakdown near colaba causing congestion
Bangalore,"Police checkpoint near Kasavanahalli, causing minor delays.",police checkpoint near kasavanahalli causing minor delays
Mumbai,Peak hour traffic near Dadar. Plan accordingly.,peak hour traffic near dadar plan accordingly
Hyderabad,Rain causing waterlogging near Jubilee Hills. Drive carefully!,rain causing waterlogging near jubilee hills drive carefully
Hyderabad,"Road construction near Jubilee Hills, causing slow traffic.",road construction near jubilee hills causing slow traffic
Mumbai,"Police checkpoint near Dadar, causing minor delays.",police checkpoint near dadar causing minor delays
Mumbai,Peak hour traffic near Powai. Plan accordingly.,peak hour traffic near powai plan accordingly
Mumbai,"Avoid Colaba if possible, traffic jam reported.",avoid colaba possible traffic jam reported
Delhi,Dwarka route is experiencing high traffic volume.,dwarka route experiencing high traffic volume
Bangalore,Accident reported near Koramangala. Expect delays.,accident reported near koramangala expect delays
Delhi,"Police checkpoint near Chandni Chowk, causing minor delays.",police checkpoint near chandni chowk causing minor delays
Delhi,Karol Bagh route is experiencing high traffic volume.,karol bagh route experiencing high traffic volume
Delhi,Accident reported near Chandni Chowk. Expect delays.,accident reported near chandni chowk expect delays
Mumbai,Peak hour traffic near Andheri. Plan accordingly.,peak hour traffic near andheri plan accordingly
Hyderabad,Vehicle breakdown near Gachibowli causing congestion.,vehicle breakdown near gachibowli causing congestion
Mumbai,"Police checkpoint near Bandra, causing minor delays.",police checkpoint near bandra causing minor delays
Mumbai,"Road construction near Bandra, causing slow traffic.",road construction near bandra causing slow traffic
Hyderabad,"Traffic moving smoothly near Gachibowli, all clear!",traffic moving smoothly near gachibowli clear
Bangalore,Peak hour traffic near Kasavanahalli. Plan accordingly.,peak hour traffic near kasavanahalli plan accordingly
Delhi,"Road construction near Connaught Place, causing slow traffic.",road construction near connaught place causing slow traffic
Mumbai,"Traffic is heavy near Colaba, please take another route.",traffic heavy near colaba please take another route
Delhi,Accident reported near Connaught Place. Expect delays.,accident reported near connaught place expect delays
Delhi,"Traffic moving smoothly near Saket, all clear!",traffic moving smoothly near saket clear
Mumbai,"Avoid Andheri if possible, traffic jam reported.",avoid andheri possible traffic jam reported
Bangalore,"Road construction near Marathahalli, causing slow traffic.",road construction near marathahalli causing slow traffic
Delhi,Vehicle breakdown near Saket causing congestion.,vehicle breakdown near saket causing congestion
Delhi,Saket route is experiencing high traffic volume.,saket route experiencing high traffic volume
Delhi,Accident reported near Dwarka. Expect delays.,accident reported near dwarka expect delays
Mumbai,Rain causing waterlogging near Powai. Drive carefully!,rain causing waterlogging near powai drive carefully
Mumbai,Rain causing waterlogging near Andheri. Drive carefully!,rain causing waterlogging near andheri drive carefully
Delhi,Rain causing waterlogging near Connaught Place. Drive carefully!,rain causing waterlogging near connaught place drive carefully
Hyderabad,Vehicle breakdown near Secunderabad causing congestion.,vehicle breakdown near secunderabad causing congestion
Bangalore,"Avoid Indiranagar if possible, traffic jam reported.",avoid indiranagar possible traffic jam reported
Mumbai,"Traffic moving smoothly near Colaba, all clear!",traffic moving smoothly near colaba clear
Mumbai,"Traffic moving smoothly near Bandra, all clear!",traffic moving smoothly near bandra clear
Hyderabad,Gachibowli route is experiencing high traffic volume.,gachibowli route experiencing high traffic volume
Bangalore,Vehicle breakdown near Electronic City causing congestion.,vehicle breakdown near electronic city causing congestion
Mumbai,Accident reported near Bandra. Expect delays.,accident reported near bandra expect delays
Bangalore,Rain causing waterlogging near Koramangala. Drive carefully!,rain causing waterlogging near koramangala drive carefully
Bangalore,"Traffic moving smoothly near Koramangala, all clear!",traffic moving smoothly near koramangala clear
Bangalore,Peak hour traffic near Indiranagar. Plan accordingly.,peak hour traffic near indiranagar plan accordingly
Delhi,"Road construction near Karol Bagh, causing slow traffic.",road construction near karol bagh causing slow traffic
Delhi,"Traffic is heavy near Connaught Place, please take another route.",traffic heavy near connaught place please take another route
Hyderabad,"Traffic is heavy near Hitech City, please take another route.",traffic heavy near hitech city please take another route
Mumbai,Accident reported near Andheri. Expect delays.,accident reported near andheri expect delays
Bangalore,Rain causing waterlogging near Kasavanahalli. Drive carefully!,rain causing waterlogging near kasavanahalli drive carefully
Hyderabad,Banjara Hills route is experiencing high traffic volume.,banjara hills route experiencing high traffic volume
Hyderabad,"Police checkpoint near Gachibowli, causing minor delays.",police checkpoint near gachibowli causing minor delays
Mumbai,"Traffic is heavy near Dadar, please take another route.",traffic heavy near dadar please take another route
Hyderabad,Vehicle breakdown near Banjara Hills causing congestion.,vehicle breakdown near banjara hills causing congestion
Delhi,Peak hour traffic near Saket. Plan accordingly.,peak hour traffic near saket plan accordingly
Delhi,Vehicle breakdown near Chandni Chowk causing congestion.,vehicle breakdown near chandni chowk causing congestion
Hyderabad,"Traffic moving smoothly near Banjara Hills, all clear!",traffic moving smoothly near banjara hills clear
Delhi,"Traffic is heavy near Saket, please take another route.",traffic heavy near saket please take another route
Mumbai,Rain causing waterlogging near Dadar. Drive carefully!,rain causing waterlogging near dadar drive carefully
Bangalore,Kasavanahalli route is experiencing high traffic volume.,kasavanahalli route experiencing high traffic volume
Hyderabad,Hitech City route is experiencing high traffic volume.,hitech city route experiencing high traffic volume
Bangalore,Vehicle breakdown near Indiranagar causing congestion.,vehicle breakdown near indiranagar causing congestion
Delhi,"Avoid Dwarka if possible, traffic jam reported.",avoid dwarka possible traffic jam reported
Hyderabad,Accident reported near Secunderabad. Expect delays.,accident reported near secunderabad expect delays
Hyderabad,"Police checkpoint near Hitech City, causing minor delays.",police checkpoint near hitech city causing minor delays
Mumbai,"Police checkpoint near Colaba, causing minor delays.",police checkpoint near colaba causing minor delays
Bangalore,Accident reported near Kasavanahalli. Expect delays.,accident reported near kasavanahalli expect delays
Hyderabad,"Traffic is heavy near Banjara Hills, please take another route.",traffic heavy near banjara hills please take another route
Hyderabad,"Avoid Gachibowli if possible, traffic jam reported.",avoid gachibowli possible traffic jam reported
Mumbai,Vehicle breakdown near Powai causing congestion.,vehicle breakdown near powai causing congestion
Bangalore,Vehicle breakdown near Marathahalli causing congestion.,vehicle breakdown near marathahalli causing congestion
Mumbai,"Police checkpoint near Andheri, causing minor delays.",police checkpoint near andheri causing minor delays
Delhi,"Police checkpoint near Dwarka, causing minor delays.",police checkpoint near dwarka causing minor delays
Hyderabad,Vehicle breakdown near Hitech City causing congestion.,vehicle breakdown near hitech city causing congestion
Hyderabad,Accident reported near Jubilee Hills. Expect delays.,accident reported near jubilee hills expect delays
Delhi,Vehicle breakdown near Karol Bagh causing congestion.,vehicle breakdown near karol bagh causing congestion
Bangalore,"Avoid Marathahalli if possible, traffic jam reported.",avoid marathahalli possible traffic jam reported
Hyderabad,"Police checkpoint near Banjara Hills, causing minor delays.",police checkpoint near banjara hills causing minor delays
Mumbai,"Traffic is heavy near Andheri, please take another route.",traffic heavy near andheri please take another route
Bangalore,Electronic City route is experiencing high traffic volume.,electronic city route experiencing high traffic volume
Bangalore,Accident reported near Indiranagar. Expect delays.,accident reported near indiranagar expect delays
Hyderabad,"Avoid Jubilee Hills if possible, traffic jam reported.",avoid jubilee hills possible traffic jam reported
Bangalore,"Road construction near Electronic City, causing slow traffic.",road construction near electronic city causing slow traffic
Delhi,"Avoid Chandni Chowk if possible, traffic jam reported.",avoid chandni chowk possible traffic jam reported
Delhi,"Traffic is heavy near Karol Bagh, please take another route.",traffic heavy near karol bagh please take another route
Mumbai,Peak hour traffic near Colaba. Plan accordingly.,peak hour traffic near colaba plan accordingly
Bangalore,Accident reported near Marathahalli. Expect delays.,accident reported near marathahalli expect delays
Hyderabad,Peak hour traffic near Banjara Hills. Plan accordingly.,peak hour traffic near banjara hills plan accordingly
Bangalore,Peak hour traffic near Electronic City. Plan accordingly.,peak hour traffic near electronic city plan accordingly
Mumbai,"Traffic is heavy near Bandra, please take another route.",traffic heavy near bandra please take another route
Hyderabad,"Road construction near Secunderabad, causing slow traffic.",road construction near secunderabad causing slow traffic
Mumbai,Dadar route is experiencing high traffic volume.,dadar route experiencing high traffic volume
Delhi,"Traffic moving smoothly near Chandni Chowk, all clear!",traffic moving smoothly near chandni chowk clear
Bangalore,"Traffic moving smoothly near Indiranagar, all clear!",traffic moving smoothly near indiranagar clear
Delhi,"Road construction near Dwarka, causing slow traffic.",road construction near dwarka causing slow traffic
Delhi,Accident reported near Karol Bagh. Expect delays.,accident reported near karol bagh expect delays
Delhi,Peak hour traffic near Dwarka. Plan accordingly.,peak hour traffic near dwarka plan accordingly
Hyderabad,"Traffic is heavy near Gachibowli, please take another route.",traffic heavy near gachibowli please take another route
Mumbai,"Road construction near Powai, causing slow traffic.",road construction near powai causing slow traffic
Mumbai,"Avoid Powai if possible, traffic jam reported.",avoid powai possible traffic jam reported
Hyderabad,"Traffic moving smoothly near Hitech City, all clear!",traffic moving smoothly near hitech city clear
Hyderabad,Accident reported near Gachibowli. Expect delays.,accident reported near gachibowli expect delays
Bangalore,"Road construction near Koramangala, causing slow traffic.",road construction near koramangala causing slow traffic
Chennai,Heavy tourist rush during the weekend near Marina Beach.,heavy tourist rush weekend near marina beach
Chennai,Religious festival causing traffic congestion at Kapaleeshwarar Temple.,religious festival causing traffic congestion kapaleeshwarar temple
Chennai,Event at Santhome Basilica leading to slow-moving traffic.,event santhome basilica leading slowmoving traffic
Chennai,Road blockage due to animal crossing warning near Guindy National Park.,road blockage due animal crossing warning near guindy national park
Chennai,Construction work causing a bottleneck near Valluvar Kottam.,construction work causing bottleneck near valluvar kottam
Chennai,Overflow parking issues causing traffic on the approach road to DakshinaChitra Museum.,overflow parking issues causing traffic approach road dakshinachitra museum
Chennai,Weekend crowd leading to delays on the main road near Edward Elliot's Beach.,weekend crowd leading delays main road near edward elliots beach
Chennai,Pilgrimage season causing gridlock near Velankanni Shrine.,pilgrimage season causing gridlock near velankanni shrine
Chennai,Civic rally resulting in road closures near Ripon Building.,civic rally resulting road closures near ripon building
Chennai,Surfing festival causing a spike in local traffic near Covelong Beach.,surfing festival causing spike local traffic near covelong beach
Kolkata,Photography exhibition leading to overcrowding near Victoria Memorial.,photography exhibition leading overcrowding near victoria memorial
Kolkata,Maintenance work on Howrah Bridge causing diversions.,maintenance work howrah bridge causing diversions
Kolkata,Festival procession leading to traffic snarls at Dakshineswar Kali Temple.,festival procession leading traffic snarls dakshineswar kali temple
Kolkata,Religious gathering causing slow-moving traffic near Belur Math.,religious gathering causing slowmoving traffic near belur math
Kolkata,Evening walkers and gatherings leading to congestion near Prinsep Ghat.,evening walkers gatherings leading congestion near prinsep ghat
Kolkata,New year celebrations causing overcrowding at Eco Park.,new year celebrations causing overcrowding eco park
Kolkata,Restaurant rush hour causing congestion on weekends at Park Street.,restaurant rush hour causing congestion weekends park street
Kolkata,Book festival leading to blocked entry roads near College Street.,book festival leading blocked entry roads near college street
Kolkata,Idol-making season causing increased local traffic near Kumartuli.,idolmaking season causing increased local traffic near kumartuli
Kolkata,Sports event causing traffic jams in surrounding areas of Salt Lake Stadium.,sports event causing traffic jams surrounding areas salt lake stadium
