City,Post,Cleaned_Post,Traffic_Location,Traffic_Cause,Alert_Message,Sentiment,Severity
Mumbai,Accident reported near Powai. Expect delays.,accident reported near powai expect delays,Powai,accident,Traffic alert in Mumbai near Powai. Cause: accident. Severity: Positive.,Positive,Low
Bangalore,"Police checkpoint near Indiranagar, causing minor delays.",police checkpoint near indiranagar causing minor delays,,checkpoint,Traffic alert in Bangalore near unknown location. Cause: checkpoint. Severity: Positive.,Positive,Low
Bangalore,Rain causing waterlogging near Indiranagar. Drive carefully!,rain causing waterlogging near indiranagar drive carefully,,rain,Traffic alert in Bangalore near unknown location. Cause: rain. Severity: Negative.,Negative,High
Mumbai,"Road construction near Andheri, causing slow traffic.",road construction near andheri causing slow traffic,Andheri,road_construction,Traffic alert in Mumbai near Andheri. Cause: road_construction. Severity: Negative.,Negative,High
Hyderabad,Rain causing waterlogging near Gachibowli. Drive carefully!,rain causing waterlogging near gachibowli drive carefully,Gachibowli,rain,Traffic alert in Hyderabad near Gachibowli. Cause: rain. Severity: Negative.,Negative,High
Mumbai,"Road construction near Colaba, causing slow traffic.",road construction near colaba causing slow traffic,Colaba,road_construction,Traffic alert in Mumbai near Colaba. Cause: road_construction. Severity: Negative.,Negative,High
Delhi,"Avoid Karol Bagh if possible, traffic jam reported.",avoid karol bagh possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Bangalore,Rain causing waterlogging near Marathahalli. Drive carefully!,rain causing waterlogging near marathahalli drive carefully,Marathahalli,rain,Traffic alert in Bangalore near Marathahalli. Cause: rain. Severity: Negative.,Negative,High
Bangalore,Accident reported near Electronic City. Expect delays.,accident reported near electronic city expect delays,Electronic City,accident,Traffic alert in Bangalore near Electronic City. Cause: accident. Severity: Positive.,Positive,Low
Mumbai,Peak hour traffic near Bandra. Plan accordingly.,peak hour traffic near bandra plan accordingly,,other,Traffic alert in Mumbai near unknown location. Cause: other. Severity: Positive.,Positive,Low
Hyderabad,"Police checkpoint near Jubilee Hills, causing minor delays.",police checkpoint near jubilee hills causing minor delays,Jubilee Hills,checkpoint,Traffic alert in Hyderabad near Jubilee Hills. Cause: checkpoint. Severity: Positive.,Positive,Low
Bangalore,Marathahalli route is experiencing high traffic volume.,marathahalli route experiencing high traffic volume,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Positive.,Positive,Low
Hyderabad,"Traffic is heavy near Jubilee Hills, please take another route.",traffic heavy near jubilee hills please take another route,Jubilee Hills,other,Traffic alert in Hyderabad near Jubilee Hills. Cause: other. Severity: Negative.,Negative,High
Hyderabad,Peak hour traffic near Secunderabad. Plan accordingly.,peak hour traffic near secunderabad plan accordingly,Secunderabad,other,Traffic alert in Hyderabad near Secunderabad. Cause: other. Severity: Positive.,Positive,Low
Mumbai,Powai route is experiencing high traffic volume.,powai route experiencing high traffic volume,Powai,other,Traffic alert in Mumbai near Powai. Cause: other. Severity: Positive.,Positive,Low
Bangalore,"Traffic moving smoothly near Electronic City, all clear!",traffic moving smoothly near electronic city clear,Electronic City,other,Traffic alert in Bangalore near Electronic City. Cause: other. Severity: Positive.,Positive,Low
Bangalore,"Traffic is heavy near Electronic City, please take another route.",traffic heavy near electronic city please take another route,Electronic City,other,Traffic alert in Bangalore near Electronic City. Cause: other. Severity: Negative.,Negative,High
Bangalore,"Avoid Kasavanahalli if possible, traffic jam reported.",avoid kasavanahalli possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Delhi,"Traffic moving smoothly near Dwarka, all clear!",traffic moving smoothly near dwarka clear,Dwarka,other,Traffic alert in Delhi near Dwarka. Cause: other. Severity: Positive.,Positive,Low
Delhi,"Traffic moving smoothly near Karol Bagh, all clear!",traffic moving smoothly near karol bagh clear,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Positive.,Positive,Low
Hyderabad,Peak hour traffic near Gachibowli. Plan accordingly.,peak hour traffic near gachibowli plan accordingly,Gachibowli,other,Traffic alert in Hyderabad near Gachibowli. Cause: other. Severity: Positive.,Positive,Low
Mumbai,Accident reported near Colaba. Expect delays.,accident reported near colaba expect delays,Colaba,accident,Traffic alert in Mumbai near Colaba. Cause: accident. Severity: Positive.,Positive,Low
Mumbai,Colaba route is experiencing high traffic volume.,colaba route experiencing high traffic volume,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other. Severity: Positive.,Positive,Low
Bangalore,Koramangala route is experiencing high traffic volume.,koramangala route experiencing high traffic volume,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other. Severity: Positive.,Positive,Low
Bangalore,"Traffic is heavy near Kasavanahalli, please take another route.",traffic heavy near kasavanahalli please take another route,Kasavanahalli,other,Traffic alert in Bangalore near Kasavanahalli. Cause: other. Severity: Negative.,Negative,High
Bangalore,"Police checkpoint near Electronic City, causing minor delays.",police checkpoint near electronic city causing minor delays,Electronic City,checkpoint,Traffic alert in Bangalore near Electronic City. Cause: checkpoint. Severity: Positive.,Positive,Low
Hyderabad,"Road construction near Banjara Hills, causing slow traffic.",road construction near banjara hills causing slow traffic,Banjara Hills,road_construction,Traffic alert in Hyderabad near Banjara Hills. Cause: road_construction. Severity: Negative.,Negative,High
Mumbai,"Avoid Dadar if possible, traffic jam reported.",avoid dadar possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Delhi,Vehicle breakdown near Connaught Place causing congestion.,vehicle breakdown near connaught place causing congestion,,vehicle_breakdown,Traffic alert in Delhi near unknown location. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Hyderabad,"Road construction near Hitech City, causing slow traffic.",road construction near hitech city causing slow traffic,Hitech City,road_construction,Traffic alert in Hyderabad near Hitech City. Cause: road_construction. Severity: Negative.,Negative,High
Mumbai,"Avoid Bandra if possible, traffic jam reported.",avoid bandra possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Bangalore,"Road construction near Kasavanahalli, causing slow traffic.",road construction near kasavanahalli causing slow traffic,Kasavanahalli,road_construction,Traffic alert in Bangalore near Kasavanahalli. Cause: road_construction. Severity: Negative.,Negative,High
Delhi,Connaught Place route is experiencing high traffic volume.,connaught place route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Positive.,Positive,Low
Delhi,"Police checkpoint near Karol Bagh, causing minor delays.",police checkpoint near karol bagh causing minor delays,,checkpoint,Traffic alert in Delhi near unknown location. Cause: checkpoint. Severity: Positive.,Positive,Low
Hyderabad,"Police checkpoint near Secunderabad, causing minor delays.",police checkpoint near secunderabad causing minor delays,Secunderabad,checkpoint,Traffic alert in Hyderabad near Secunderabad. Cause: checkpoint. Severity: Positive.,Positive,Low
Hyderabad,"Road construction near Gachibowli, causing slow traffic.",road construction near gachibowli causing slow traffic,Gachibowli,road_construction,Traffic alert in Hyderabad near Gachibowli. Cause: road_construction. Severity: Negative.,Negative,High
Hyderabad,"Avoid Secunderabad if possible, traffic jam reported.",avoid secunderabad possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Delhi,Chandni Chowk route is experiencing high traffic volume.,chandni chowk route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Positive.,Positive,Low
Delhi,Peak hour traffic near Chandni Chowk. Plan accordingly.,peak hour traffic near chandni chowk plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Positive.,Positive,Low
Hyderabad,"Avoid Banjara Hills if possible, traffic jam reported.",avoid banjara hills possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Bangalore,"Traffic moving smoothly near Marathahalli, all clear!",traffic moving smoothly near marathahalli clear,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Positive.,Positive,Low
Bangalore,"Police checkpoint near Marathahalli, causing minor delays.",police checkpoint near marathahalli causing minor delays,,checkpoint,Traffic alert in Bangalore near unknown location. Cause: checkpoint. Severity: Positive.,Positive,Low
Delhi,"Police checkpoint near Saket, causing minor delays.",police checkpoint near saket causing minor delays,Saket,checkpoint,Traffic alert in Delhi near Saket. Cause: checkpoint. Severity: Positive.,Positive,Low
Hyderabad,Accident reported near Hitech City. Expect delays.,accident reported near hitech city expect delays,Hitech City,accident,Traffic alert in Hyderabad near Hitech City. Cause: accident. Severity: Positive.,Positive,Low
Hyderabad,"Traffic moving smoothly near Secunderabad, all clear!",traffic moving smoothly near secunderabad clear,Secunderabad,other,Traffic alert in Hyderabad near Secunderabad. Cause: other. Severity: Positive.,Positive,Low
Hyderabad,Rain causing waterlogging near Secunderabad. Drive carefully!,rain causing waterlogging near secunderabad drive carefully,Secunderabad,rain,Traffic alert in Hyderabad near Secunderabad. Cause: rain. Severity: Negative.,Negative,High
Hyderabad,Peak hour traffic near Jubilee Hills. Plan accordingly.,peak hour traffic near jubilee hills plan accordingly,Jubilee Hills,other,Traffic alert in Hyderabad near Jubilee Hills. Cause: other. Severity: Positive.,Positive,Low
Hyderabad,Secunderabad route is experiencing high traffic volume.,secunderabad route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other. Severity: Positive.,Positive,Low
Bangalore,"Traffic moving smoothly near Kasavanahalli, all clear!",traffic moving smoothly near kasavanahalli clear,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Positive.,Positive,Low
Mumbai,Vehicle breakdown near Andheri causing congestion.,vehicle breakdown near andheri causing congestion,Andheri,vehicle_breakdown,Traffic alert in Mumbai near Andheri. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Bangalore,"Road construction near Indiranagar, causing slow traffic.",road construction near indiranagar causing slow traffic,,road_construction,Traffic alert in Bangalore near unknown location. Cause: road_construction. Severity: Negative.,Negative,High
Delhi,Rain causing waterlogging near Karol Bagh. Drive carefully!,rain causing waterlogging near karol bagh drive carefully,,rain,Traffic alert in Delhi near unknown location. Cause: rain. Severity: Negative.,Negative,High
Mumbai,"Police checkpoint near Powai, causing minor delays.",police checkpoint near powai causing minor delays,Powai,checkpoint,Traffic alert in Mumbai near Powai. Cause: checkpoint. Severity: Positive.,Positive,Low
Delhi,Vehicle breakdown near Dwarka causing congestion.,vehicle breakdown near dwarka causing congestion,Dwarka,vehicle_breakdown,Traffic alert in Delhi near Dwarka. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Mumbai,Vehicle breakdown near Dadar causing congestion.,vehicle breakdown near dadar causing congestion,,vehicle_breakdown,Traffic alert in Mumbai near unknown location. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Hyderabad,Accident reported near Banjara Hills. Expect delays.,accident reported near banjara hills expect delays,Banjara Hills,accident,Traffic alert in Hyderabad near Banjara Hills. Cause: accident. Severity: Positive.,Positive,Low
Mumbai,"Traffic is heavy near Powai, please take another route.",traffic heavy near powai please take another route,Powai,other,Traffic alert in Mumbai near Powai. Cause: other. Severity: Negative.,Negative,High
Delhi,"Avoid Connaught Place if possible, traffic jam reported.",avoid connaught place possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Hyderabad,Vehicle breakdown near Jubilee Hills causing congestion.,vehicle breakdown near jubilee hills causing congestion,Jubilee Hills,vehicle_breakdown,Traffic alert in Hyderabad near Jubilee Hills. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Bangalore,"Traffic is heavy near Indiranagar, please take another route.",traffic heavy near indiranagar please take another route,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Negative.,Negative,High
Hyderabad,Rain causing waterlogging near Banjara Hills. Drive carefully!,rain causing waterlogging near banjara hills drive carefully,Banjara Hills,rain,Traffic alert in Hyderabad near Banjara Hills. Cause: rain. Severity: Negative.,Negative,High
Delhi,Accident reported near Saket. Expect delays.,accident reported near saket expect delays,Saket,accident,Traffic alert in Delhi near Saket. Cause: accident. Severity: Positive.,Positive,Low
Mumbai,"Traffic moving smoothly near Powai, all clear!",traffic moving smoothly near powai clear,Powai,other,Traffic alert in Mumbai near Powai. Cause: other. Severity: Positive.,Positive,Low
Delhi,Peak hour traffic near Connaught Place. Plan accordingly.,peak hour traffic near connaught place plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Positive.,Positive,Low
Bangalore,Peak hour traffic near Marathahalli. Plan accordingly.,peak hour traffic near marathahalli plan accordingly,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Positive.,Positive,Low
Bangalore,"Traffic is heavy near Koramangala, please take another route.",traffic heavy near koramangala please take another route,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other. Severity: Negative.,Negative,High
Delhi,"Road construction near Saket, causing slow traffic.",road construction near saket causing slow traffic,Saket,road_construction,Traffic alert in Delhi near Saket. Cause: road_construction. Severity: Negative.,Negative,High
Bangalore,"Police checkpoint near Koramangala, causing minor delays.",police checkpoint near koramangala causing minor delays,Koramangala,checkpoint,Traffic alert in Bangalore near Koramangala. Cause: checkpoint. Severity: Positive.,Positive,Low
Bangalore,Peak hour traffic near Koramangala. Plan accordingly.,peak hour traffic near koramangala plan accordingly,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other. Severity: Positive.,Positive,Low
Hyderabad,"Traffic is heavy near Secunderabad, please take another route.",traffic heavy near secunderabad please take another route,Secunderabad,other,Traffic alert in Hyderabad near Secunderabad. Cause: other. Severity: Negative.,Negative,High
Delhi,"Police checkpoint near Connaught Place, causing minor delays.",police checkpoint near connaught place causing minor delays,,checkpoint,Traffic alert in Delhi near unknown location. Cause: checkpoint. Severity: Positive.,Positive,Low
Delhi,Rain causing waterlogging near Chandni Chowk. Drive carefully!,rain causing waterlogging near chandni chowk drive carefully,,rain,Traffic alert in Delhi near unknown location. Cause: rain. Severity: Negative.,Negative,High
Mumbai,"Traffic moving smoothly near Andheri, all clear!",traffic moving smoothly near andheri clear,Andheri,other,Traffic alert in Mumbai near Andheri. Cause: other. Severity: Positive.,Positive,Low
Delhi,"Traffic is heavy near Dwarka, please take another route.",traffic heavy near dwarka please take another route,Dwarka,other,Traffic alert in Delhi near Dwarka. Cause: other. Severity: Negative.,Negative,High
Bangalore,Vehicle breakdown near Kasavanahalli causing congestion.,vehicle breakdown near kasavanahalli causing congestion,Kasavanahalli,vehicle_breakdown,Traffic alert in Bangalore near Kasavanahalli. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Hyderabad,Peak hour traffic near Hitech City. Plan accordingly.,peak hour traffic near hitech city plan accordingly,Hitech City,other,Traffic alert in Hyderabad near Hitech City. Cause: other. Severity: Positive.,Positive,Low
Bangalore,Rain causing waterlogging near Electronic City. Drive carefully!,rain causing waterlogging near electronic city drive carefully,Electronic City,rain,Traffic alert in Bangalore near Electronic City. Cause: rain. Severity: Negative.,Negative,High
Delhi,"Avoid Saket if possible, traffic jam reported.",avoid saket possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Delhi,"Traffic is heavy near Chandni Chowk, please take another route.",traffic heavy near chandni chowk please take another route,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Negative.,Negative,High
Mumbai,"Road construction near Dadar, causing slow traffic.",road construction near dadar causing slow traffic,Dadar,road_construction,Traffic alert in Mumbai near Dadar. Cause: road_construction. Severity: Negative.,Negative,High
Mumbai,Bandra route is experiencing high traffic volume.,bandra route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other. Severity: Positive.,Positive,Low
Bangalore,"Avoid Koramangala if possible, traffic jam reported.",avoid koramangala possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Bangalore,Indiranagar route is experiencing high traffic volume.,indiranagar route experiencing high traffic volume,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Positive.,Positive,Low
Delhi,"Traffic moving smoothly near Connaught Place, all clear!",traffic moving smoothly near connaught place clear,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Positive.,Positive,Low
Delhi,"Road construction near Chandni Chowk, causing slow traffic.",road construction near chandni chowk causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction. Severity: Negative.,Negative,High
Delhi,Rain causing waterlogging near Dwarka. Drive carefully!,rain causing waterlogging near dwarka drive carefully,Dwarka,rain,Traffic alert in Delhi near Dwarka. Cause: rain. Severity: Negative.,Negative,High
Mumbai,Vehicle breakdown near Bandra causing congestion.,vehicle breakdown near bandra causing congestion,Bandra,vehicle_breakdown,Traffic alert in Mumbai near Bandra. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Bangalore,"Avoid Electronic City if possible, traffic jam reported.",avoid electronic city possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Mumbai,Rain causing waterlogging near Colaba. Drive carefully!,rain causing waterlogging near colaba drive carefully,Colaba,rain,Traffic alert in Mumbai near Colaba. Cause: rain. Severity: Negative.,Negative,High
Bangalore,"Traffic is heavy near Marathahalli, please take another route.",traffic heavy near marathahalli please take another route,,other,Traffic alert in Bangalore near unknown location. Cause: other. Severity: Negative.,Negative,High
Mumbai,Accident reported near Dadar. Expect delays.,accident reported near dadar expect delays,,accident,Traffic alert in Mumbai near unknown location. Cause: accident. Severity: Positive.,Positive,Low
Hyderabad,"Avoid Hitech City if possible, traffic jam reported.",avoid hitech city possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Bangalore,Vehicle breakdown near Koramangala causing congestion.,vehicle breakdown near koramangala causing congestion,Koramangala,vehicle_breakdown,Traffic alert in Bangalore near Koramangala. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Mumbai,Rain causing waterlogging near Bandra. Drive carefully!,rain causing waterlogging near bandra drive carefully,,rain,Traffic alert in Mumbai near unknown location. Cause: rain. Severity: Negative.,Negative,High
Hyderabad,"Traffic moving smoothly near Jubilee Hills, all clear!",traffic moving smoothly near jubilee hills clear,Jubilee Hills,other,Traffic alert in Hyderabad near Jubilee Hills. Cause: other. Severity: Positive.,Positive,Low
Mumbai,Andheri route is experiencing high traffic volume.,andheri route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other. Severity: Positive.,Positive,Low
Mumbai,"Traffic moving smoothly near Dadar, all clear!",traffic moving smoothly near dadar clear,,other,Traffic alert in Mumbai near unknown location. Cause: other. Severity: Positive.,Positive,Low
Delhi,Peak hour traffic near Karol Bagh. Plan accordingly.,peak hour traffic near karol bagh plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Positive.,Positive,Low
Delhi,Rain causing waterlogging near Saket. Drive carefully!,rain causing waterlogging near saket drive carefully,Saket,rain,Traffic alert in Delhi near Saket. Cause: rain. Severity: Negative.,Negative,High
Hyderabad,Rain causing waterlogging near Hitech City. Drive carefully!,rain causing waterlogging near hitech city drive carefully,Hitech City,rain,Traffic alert in Hyderabad near Hitech City. Cause: rain. Severity: Negative.,Negative,High
Hyderabad,Jubilee Hills route is experiencing high traffic volume.,jubilee hills route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other. Severity: Positive.,Positive,Low
Mumbai,Vehicle breakdown near Colaba causing congestion.,vehicle breakdown near colaba causing congestion,Colaba,vehicle_breakdown,Traffic alert in Mumbai near Colaba. Cause: vehicle_breakdown. Severity: Positive.,Positive,Low
Bangalore,"Police checkpoint near Kasavanahalli, causing minor delays.",police checkpoint near kasavanahalli causing minor delays,Kasavanahalli,checkpoint,Traffic alert in Bangalore near Kasavanahalli. Cause: checkpoint. Severity: Positive.,Positive,Low
Mumbai,Peak hour traffic near Dadar. Plan accordingly.,peak hour traffic near dadar plan accordingly,,other,Traffic alert in Mumbai near unknown location. Cause: other. Severity: Positive.,Positive,Low
Hyderabad,Rain causing waterlogging near Jubilee Hills. Drive carefully!,rain causing waterlogging near jubilee hills drive carefully,Jubilee Hills,rain,Traffic alert in Hyderabad near Jubilee Hills. Cause: rain. Severity: Negative.,Negative,High
Hyderabad,"Road construction near Jubilee Hills, causing slow traffic.",road construction near jubilee hills causing slow traffic,Jubilee Hills,road_construction,Traffic alert in Hyderabad near Jubilee Hills. Cause: road_construction. Severity: Negative.,Negative,High
Mumbai,"Police checkpoint near Dadar, causing minor delays.",police checkpoint near dadar causing minor delays,Dadar,checkpoint,Traffic alert in Mumbai near Dadar. Cause: checkpoint. Severity: Positive.,Positive,Low
Mumbai,Peak hour traffic near Powai. Plan accordingly.,peak hour traffic near powai plan accordingly,Powai,other,Traffic alert in Mumbai near Powai. Cause: other. Severity: Positive.,Positive,Low
Mumbai,"Avoid Colaba if possible, traffic jam reported.",avoid colaba possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other. Severity: Neutral.,Neutral,Medium
Delhi,Dwarka route is experiencing high traffic volume.,dwarka route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other. Severity: Positive.,Positive,Low
