City,Post,Cleaned_Post,Traffic_Location,Traffic_Cause,Alert_Message,Tokens,Topic
Mumbai,Accident reported near Powai. Expect delays.,accident reported near powai expect delays,Powai,accident,Traffic alert in Mumbai near Powai. Cause: accident.,"['accident', 'reported', 'near', 'powai', 'expect', 'delays']",2
Bangalore,"Police checkpoint near Indiranagar, causing minor delays.",police checkpoint near indiranagar causing minor delays,,checkpoint,Traffic alert in Bangalore near unknown location. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'indiranagar', 'causing', 'minor', 'delays']",2
Bangalore,Rain causing waterlogging near Indiranagar. Drive carefully!,rain causing waterlogging near indiranagar drive carefully,,rain,Traffic alert in Bangalore near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'indiranagar', 'drive', 'carefully']",0
Mumbai,"Road construction near Andheri, causing slow traffic.",road construction near andheri causing slow traffic,Andheri,road_construction,Traffic alert in Mumbai near Andheri. Cause: road_construction.,"['road', 'construction', 'near', 'andheri', 'causing', 'slow', 'traffic']",1
Hyderabad,Rain causing waterlogging near Gachibowli. Drive carefully!,rain causing waterlogging near gachibowli drive carefully,Gachibowli,rain,Traffic alert in Hyderabad near Gachibowli. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'gachibowli', 'drive', 'carefully']",0
Mumbai,"Road construction near Colaba, causing slow traffic.",road construction near colaba causing slow traffic,Colaba,road_construction,Traffic alert in Mumbai near Colaba. Cause: road_construction.,"['road', 'construction', 'near', 'colaba', 'causing', 'slow', 'traffic']",1
Delhi,"Avoid Karol Bagh if possible, traffic jam reported.",avoid karol bagh possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['avoid', 'karol', 'bagh', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,Rain causing waterlogging near Marathahalli. Drive carefully!,rain causing waterlogging near marathahalli drive carefully,Marathahalli,rain,Traffic alert in Bangalore near Marathahalli. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'marathahalli', 'drive', 'carefully']",0
Bangalore,Accident reported near Electronic City. Expect delays.,accident reported near electronic city expect delays,Electronic City,accident,Traffic alert in Bangalore near Electronic City. Cause: accident.,"['accident', 'reported', 'near', 'electronic', 'city', 'expect', 'delays']",2
Mumbai,Peak hour traffic near Bandra. Plan accordingly.,peak hour traffic near bandra plan accordingly,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'bandra', 'plan', 'accordingly']",0
Hyderabad,"Police checkpoint near Jubilee Hills, causing minor delays.",police checkpoint near jubilee hills causing minor delays,Jubilee Hills,checkpoint,Traffic alert in Hyderabad near Jubilee Hills. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'jubilee', 'hills', 'causing', 'minor', 'delays']",2
Bangalore,Marathahalli route is experiencing high traffic volume.,marathahalli route experiencing high traffic volume,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['marathahalli', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Hyderabad,"Traffic is heavy near Jubilee Hills, please take another route.",traffic heavy near jubilee hills please take another route,Jubilee Hills,other,Traffic alert in Hyderabad near Jubilee Hills. Cause: other.,"['traffic', 'heavy', 'near', 'jubilee', 'hills', 'please', 'take', 'another', 'route']",1
Hyderabad,Peak hour traffic near Secunderabad. Plan accordingly.,peak hour traffic near secunderabad plan accordingly,Secunderabad,other,Traffic alert in Hyderabad near Secunderabad. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'secunderabad', 'plan', 'accordingly']",0
Mumbai,Powai route is experiencing high traffic volume.,powai route experiencing high traffic volume,Powai,other,Traffic alert in Mumbai near Powai. Cause: other.,"['powai', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,"Traffic moving smoothly near Electronic City, all clear!",traffic moving smoothly near electronic city clear,Electronic City,other,Traffic alert in Bangalore near Electronic City. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'electronic', 'city', 'clear']",2
Bangalore,"Traffic is heavy near Electronic City, please take another route.",traffic heavy near electronic city please take another route,Electronic City,other,Traffic alert in Bangalore near Electronic City. Cause: other.,"['traffic', 'heavy', 'near', 'electronic', 'city', 'please', 'take', 'another', 'route']",1
Bangalore,"Avoid Kasavanahalli if possible, traffic jam reported.",avoid kasavanahalli possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['avoid', 'kasavanahalli', 'possible', 'traffic', 'jam', 'reported']",2
Delhi,"Traffic moving smoothly near Dwarka, all clear!",traffic moving smoothly near dwarka clear,Dwarka,other,Traffic alert in Delhi near Dwarka. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'dwarka', 'clear']",2
Delhi,"Traffic moving smoothly near Karol Bagh, all clear!",traffic moving smoothly near karol bagh clear,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'karol', 'bagh', 'clear']",2
Hyderabad,Peak hour traffic near Gachibowli. Plan accordingly.,peak hour traffic near gachibowli plan accordingly,Gachibowli,other,Traffic alert in Hyderabad near Gachibowli. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'gachibowli', 'plan', 'accordingly']",0
Mumbai,Accident reported near Colaba. Expect delays.,accident reported near colaba expect delays,Colaba,accident,Traffic alert in Mumbai near Colaba. Cause: accident.,"['accident', 'reported', 'near', 'colaba', 'expect', 'delays']",2
Mumbai,Colaba route is experiencing high traffic volume.,colaba route experiencing high traffic volume,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other.,"['colaba', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,Koramangala route is experiencing high traffic volume.,koramangala route experiencing high traffic volume,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other.,"['koramangala', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,"Traffic is heavy near Kasavanahalli, please take another route.",traffic heavy near kasavanahalli please take another route,Kasavanahalli,other,Traffic alert in Bangalore near Kasavanahalli. Cause: other.,"['traffic', 'heavy', 'near', 'kasavanahalli', 'please', 'take', 'another', 'route']",1
Bangalore,"Police checkpoint near Electronic City, causing minor delays.",police checkpoint near electronic city causing minor delays,Electronic City,checkpoint,Traffic alert in Bangalore near Electronic City. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'electronic', 'city', 'causing', 'minor', 'delays']",2
Hyderabad,"Road construction near Banjara Hills, causing slow traffic.",road construction near banjara hills causing slow traffic,Banjara Hills,road_construction,Traffic alert in Hyderabad near Banjara Hills. Cause: road_construction.,"['road', 'construction', 'near', 'banjara', 'hills', 'causing', 'slow', 'traffic']",1
Mumbai,"Avoid Dadar if possible, traffic jam reported.",avoid dadar possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['avoid', 'dadar', 'possible', 'traffic', 'jam', 'reported']",2
Delhi,Vehicle breakdown near Connaught Place causing congestion.,vehicle breakdown near connaught place causing congestion,,vehicle_breakdown,Traffic alert in Delhi near unknown location. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'connaught', 'place', 'causing', 'congestion']",0
Hyderabad,"Road construction near Hitech City, causing slow traffic.",road construction near hitech city causing slow traffic,Hitech City,road_construction,Traffic alert in Hyderabad near Hitech City. Cause: road_construction.,"['road', 'construction', 'near', 'hitech', 'city', 'causing', 'slow', 'traffic']",1
Mumbai,"Avoid Bandra if possible, traffic jam reported.",avoid bandra possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['avoid', 'bandra', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,"Road construction near Kasavanahalli, causing slow traffic.",road construction near kasavanahalli causing slow traffic,Kasavanahalli,road_construction,Traffic alert in Bangalore near Kasavanahalli. Cause: road_construction.,"['road', 'construction', 'near', 'kasavanahalli', 'causing', 'slow', 'traffic']",1
Delhi,Connaught Place route is experiencing high traffic volume.,connaught place route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['connaught', 'place', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,"Police checkpoint near Karol Bagh, causing minor delays.",police checkpoint near karol bagh causing minor delays,,checkpoint,Traffic alert in Delhi near unknown location. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'karol', 'bagh', 'causing', 'minor', 'delays']",2
Hyderabad,"Police checkpoint near Secunderabad, causing minor delays.",police checkpoint near secunderabad causing minor delays,Secunderabad,checkpoint,Traffic alert in Hyderabad near Secunderabad. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'secunderabad', 'causing', 'minor', 'delays']",2
Hyderabad,"Road construction near Gachibowli, causing slow traffic.",road construction near gachibowli causing slow traffic,Gachibowli,road_construction,Traffic alert in Hyderabad near Gachibowli. Cause: road_construction.,"['road', 'construction', 'near', 'gachibowli', 'causing', 'slow', 'traffic']",1
Hyderabad,"Avoid Secunderabad if possible, traffic jam reported.",avoid secunderabad possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['avoid', 'secunderabad', 'possible', 'traffic', 'jam', 'reported']",2
Delhi,Chandni Chowk route is experiencing high traffic volume.,chandni chowk route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['chandni', 'chowk', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,Peak hour traffic near Chandni Chowk. Plan accordingly.,peak hour traffic near chandni chowk plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'chandni', 'chowk', 'plan', 'accordingly']",0
Hyderabad,"Avoid Banjara Hills if possible, traffic jam reported.",avoid banjara hills possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['avoid', 'banjara', 'hills', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,"Traffic moving smoothly near Marathahalli, all clear!",traffic moving smoothly near marathahalli clear,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'marathahalli', 'clear']",2
Bangalore,"Police checkpoint near Marathahalli, causing minor delays.",police checkpoint near marathahalli causing minor delays,,checkpoint,Traffic alert in Bangalore near unknown location. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'marathahalli', 'causing', 'minor', 'delays']",2
Delhi,"Police checkpoint near Saket, causing minor delays.",police checkpoint near saket causing minor delays,Saket,checkpoint,Traffic alert in Delhi near Saket. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'saket', 'causing', 'minor', 'delays']",2
Hyderabad,Accident reported near Hitech City. Expect delays.,accident reported near hitech city expect delays,Hitech City,accident,Traffic alert in Hyderabad near Hitech City. Cause: accident.,"['accident', 'reported', 'near', 'hitech', 'city', 'expect', 'delays']",2
Hyderabad,"Traffic moving smoothly near Secunderabad, all clear!",traffic moving smoothly near secunderabad clear,Secunderabad,other,Traffic alert in Hyderabad near Secunderabad. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'secunderabad', 'clear']",2
Hyderabad,Rain causing waterlogging near Secunderabad. Drive carefully!,rain causing waterlogging near secunderabad drive carefully,Secunderabad,rain,Traffic alert in Hyderabad near Secunderabad. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'secunderabad', 'drive', 'carefully']",0
Hyderabad,Peak hour traffic near Jubilee Hills. Plan accordingly.,peak hour traffic near jubilee hills plan accordingly,Jubilee Hills,other,Traffic alert in Hyderabad near Jubilee Hills. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'jubilee', 'hills', 'plan', 'accordingly']",0
Hyderabad,Secunderabad route is experiencing high traffic volume.,secunderabad route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['secunderabad', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,"Traffic moving smoothly near Kasavanahalli, all clear!",traffic moving smoothly near kasavanahalli clear,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'kasavanahalli', 'clear']",2
Mumbai,Vehicle breakdown near Andheri causing congestion.,vehicle breakdown near andheri causing congestion,Andheri,vehicle_breakdown,Traffic alert in Mumbai near Andheri. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'andheri', 'causing', 'congestion']",0
Bangalore,"Road construction near Indiranagar, causing slow traffic.",road construction near indiranagar causing slow traffic,,road_construction,Traffic alert in Bangalore near unknown location. Cause: road_construction.,"['road', 'construction', 'near', 'indiranagar', 'causing', 'slow', 'traffic']",1
Delhi,Rain causing waterlogging near Karol Bagh. Drive carefully!,rain causing waterlogging near karol bagh drive carefully,,rain,Traffic alert in Delhi near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'karol', 'bagh', 'drive', 'carefully']",0
Mumbai,"Police checkpoint near Powai, causing minor delays.",police checkpoint near powai causing minor delays,Powai,checkpoint,Traffic alert in Mumbai near Powai. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'powai', 'causing', 'minor', 'delays']",2
Delhi,Vehicle breakdown near Dwarka causing congestion.,vehicle breakdown near dwarka causing congestion,Dwarka,vehicle_breakdown,Traffic alert in Delhi near Dwarka. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'dwarka', 'causing', 'congestion']",0
Mumbai,Vehicle breakdown near Dadar causing congestion.,vehicle breakdown near dadar causing congestion,,vehicle_breakdown,Traffic alert in Mumbai near unknown location. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'dadar', 'causing', 'congestion']",0
Hyderabad,Accident reported near Banjara Hills. Expect delays.,accident reported near banjara hills expect delays,Banjara Hills,accident,Traffic alert in Hyderabad near Banjara Hills. Cause: accident.,"['accident', 'reported', 'near', 'banjara', 'hills', 'expect', 'delays']",2
Mumbai,"Traffic is heavy near Powai, please take another route.",traffic heavy near powai please take another route,Powai,other,Traffic alert in Mumbai near Powai. Cause: other.,"['traffic', 'heavy', 'near', 'powai', 'please', 'take', 'another', 'route']",1
Delhi,"Avoid Connaught Place if possible, traffic jam reported.",avoid connaught place possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['avoid', 'connaught', 'place', 'possible', 'traffic', 'jam', 'reported']",2
Hyderabad,Vehicle breakdown near Jubilee Hills causing congestion.,vehicle breakdown near jubilee hills causing congestion,Jubilee Hills,vehicle_breakdown,Traffic alert in Hyderabad near Jubilee Hills. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'jubilee', 'hills', 'causing', 'congestion']",0
Bangalore,"Traffic is heavy near Indiranagar, please take another route.",traffic heavy near indiranagar please take another route,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'indiranagar', 'please', 'take', 'another', 'route']",1
Hyderabad,Rain causing waterlogging near Banjara Hills. Drive carefully!,rain causing waterlogging near banjara hills drive carefully,Banjara Hills,rain,Traffic alert in Hyderabad near Banjara Hills. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'banjara', 'hills', 'drive', 'carefully']",0
Delhi,Accident reported near Saket. Expect delays.,accident reported near saket expect delays,Saket,accident,Traffic alert in Delhi near Saket. Cause: accident.,"['accident', 'reported', 'near', 'saket', 'expect', 'delays']",2
Mumbai,"Traffic moving smoothly near Powai, all clear!",traffic moving smoothly near powai clear,Powai,other,Traffic alert in Mumbai near Powai. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'powai', 'clear']",2
Delhi,Peak hour traffic near Connaught Place. Plan accordingly.,peak hour traffic near connaught place plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'connaught', 'place', 'plan', 'accordingly']",0
Bangalore,Peak hour traffic near Marathahalli. Plan accordingly.,peak hour traffic near marathahalli plan accordingly,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'marathahalli', 'plan', 'accordingly']",0
Bangalore,"Traffic is heavy near Koramangala, please take another route.",traffic heavy near koramangala please take another route,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other.,"['traffic', 'heavy', 'near', 'koramangala', 'please', 'take', 'another', 'route']",1
Delhi,"Road construction near Saket, causing slow traffic.",road construction near saket causing slow traffic,Saket,road_construction,Traffic alert in Delhi near Saket. Cause: road_construction.,"['road', 'construction', 'near', 'saket', 'causing', 'slow', 'traffic']",1
Bangalore,"Police checkpoint near Koramangala, causing minor delays.",police checkpoint near koramangala causing minor delays,Koramangala,checkpoint,Traffic alert in Bangalore near Koramangala. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'koramangala', 'causing', 'minor', 'delays']",2
Bangalore,Peak hour traffic near Koramangala. Plan accordingly.,peak hour traffic near koramangala plan accordingly,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'koramangala', 'plan', 'accordingly']",0
Hyderabad,"Traffic is heavy near Secunderabad, please take another route.",traffic heavy near secunderabad please take another route,Secunderabad,other,Traffic alert in Hyderabad near Secunderabad. Cause: other.,"['traffic', 'heavy', 'near', 'secunderabad', 'please', 'take', 'another', 'route']",1
Delhi,"Police checkpoint near Connaught Place, causing minor delays.",police checkpoint near connaught place causing minor delays,,checkpoint,Traffic alert in Delhi near unknown location. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'connaught', 'place', 'causing', 'minor', 'delays']",2
Delhi,Rain causing waterlogging near Chandni Chowk. Drive carefully!,rain causing waterlogging near chandni chowk drive carefully,,rain,Traffic alert in Delhi near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'chandni', 'chowk', 'drive', 'carefully']",0
Mumbai,"Traffic moving smoothly near Andheri, all clear!",traffic moving smoothly near andheri clear,Andheri,other,Traffic alert in Mumbai near Andheri. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'andheri', 'clear']",2
