City,Post,Cleaned_Post,Traffic_Location,Traffic_Cause,Alert_Message,Tokens,Topic
Delhi,"Traffic is heavy near Dwarka, please take another route.",traffic heavy near dwarka please take another route,Dwarka,other,Traffic alert in Delhi near Dwarka. Cause: other.,"['traffic', 'heavy', 'near', 'dwarka', 'please', 'take', 'another', 'route']",1
Bangalore,Vehicle breakdown near Kasavanahalli causing congestion.,vehicle breakdown near kasavanahalli causing congestion,Kasavanahalli,vehicle_breakdown,Traffic alert in Bangalore near Kasavanahalli. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'kasavanahalli', 'causing', 'congestion']",0
Hyderabad,Peak hour traffic near Hitech City. Plan accordingly.,peak hour traffic near hitech city plan accordingly,Hitech City,other,Traffic alert in Hyderabad near Hitech City. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'hitech', 'city', 'plan', 'accordingly']",0
Bangalore,Rain causing waterlogging near Electronic City. Drive carefully!,rain causing waterlogging near electronic city drive carefully,Electronic City,rain,Traffic alert in Bangalore near Electronic City. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'electronic', 'city', 'drive', 'carefully']",0
Delhi,"Avoid Saket if possible, traffic jam reported.",avoid saket possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['avoid', 'saket', 'possible', 'traffic', 'jam', 'reported']",2
Delhi,"Traffic is heavy near Chandni Chowk, please take another route.",traffic heavy near chandni chowk please take another route,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'chandni', 'chowk', 'please', 'take', 'another', 'route']",1
Mumbai,"Road construction near Dadar, causing slow traffic.",road construction near dadar causing slow traffic,Dadar,road_construction,Traffic alert in Mumbai near Dadar. Cause: road_construction.,"['road', 'construction', 'near', 'dadar', 'causing', 'slow', 'traffic']",1
Mumbai,Bandra route is experiencing high traffic volume.,bandra route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['bandra', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,"Avoid Koramangala if possible, traffic jam reported.",avoid koramangala possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['avoid', 'koramangala', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,Indiranagar route is experiencing high traffic volume.,indiranagar route experiencing high traffic volume,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['indiranagar', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,"Traffic moving smoothly near Connaught Place, all clear!",traffic moving smoothly near connaught place clear,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'connaught', 'place', 'clear']",2
Delhi,"Road construction near Chandni Chowk, causing slow traffic.",road construction near chandni chowk causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction.,"['road', 'construction', 'near', 'chandni', 'chowk', 'causing', 'slow', 'traffic']",1
Delhi,Rain causing waterlogging near Dwarka. Drive carefully!,rain causing waterlogging near dwarka drive carefully,Dwarka,rain,Traffic alert in Delhi near Dwarka. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'dwarka', 'drive', 'carefully']",0
Mumbai,Vehicle breakdown near Bandra causing congestion.,vehicle breakdown near bandra causing congestion,Bandra,vehicle_breakdown,Traffic alert in Mumbai near Bandra. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'bandra', 'causing', 'congestion']",0
Bangalore,"Avoid Electronic City if possible, traffic jam reported.",avoid electronic city possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['avoid', 'electronic', 'city', 'possible', 'traffic', 'jam', 'reported']",2
Mumbai,Rain causing waterlogging near Colaba. Drive carefully!,rain causing waterlogging near colaba drive carefully,Colaba,rain,Traffic alert in Mumbai near Colaba. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'colaba', 'drive', 'carefully']",0
Bangalore,"Traffic is heavy near Marathahalli, please take another route.",traffic heavy near marathahalli please take another route,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'marathahalli', 'please', 'take', 'another', 'route']",1
Mumbai,Accident reported near Dadar. Expect delays.,accident reported near dadar expect delays,,accident,Traffic alert in Mumbai near unknown location. Cause: accident.,"['accident', 'reported', 'near', 'dadar', 'expect', 'delays']",2
Hyderabad,"Avoid Hitech City if possible, traffic jam reported.",avoid hitech city possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['avoid', 'hitech', 'city', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,Vehicle breakdown near Koramangala causing congestion.,vehicle breakdown near koramangala causing congestion,Koramangala,vehicle_breakdown,Traffic alert in Bangalore near Koramangala. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'koramangala', 'causing', 'congestion']",0
Mumbai,Rain causing waterlogging near Bandra. Drive carefully!,rain causing waterlogging near bandra drive carefully,,rain,Traffic alert in Mumbai near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'bandra', 'drive', 'carefully']",0
Hyderabad,"Traffic moving smoothly near Jubilee Hills, all clear!",traffic moving smoothly near jubilee hills clear,Jubilee Hills,other,Traffic alert in Hyderabad near Jubilee Hills. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'jubilee', 'hills', 'clear']",2
Mumbai,Andheri route is experiencing high traffic volume.,andheri route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['andheri', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Mumbai,"Traffic moving smoothly near Dadar, all clear!",traffic moving smoothly near dadar clear,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'dadar', 'clear']",2
Delhi,Peak hour traffic near Karol Bagh. Plan accordingly.,peak hour traffic near karol bagh plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'karol', 'bagh', 'plan', 'accordingly']",0
Delhi,Rain causing waterlogging near Saket. Drive carefully!,rain causing waterlogging near saket drive carefully,Saket,rain,Traffic alert in Delhi near Saket. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'saket', 'drive', 'carefully']",0
Hyderabad,Rain causing waterlogging near Hitech City. Drive carefully!,rain causing waterlogging near hitech city drive carefully,Hitech City,rain,Traffic alert in Hyderabad near Hitech City. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'hitech', 'city', 'drive', 'carefully']",0
Hyderabad,Jubilee Hills route is experiencing high traffic volume.,jubilee hills route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['jubilee', 'hills', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Mumbai,Vehicle breakdown near Colaba causing congestion.,vehicle breakdown near colaba causing congestion,Colaba,vehicle_breakdown,Traffic alert in Mumbai near Colaba. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'colaba', 'causing', 'congestion']",0
Bangalore,"Police checkpoint near Kasavanahalli, causing minor delays.",police checkpoint near kasavanahalli causing minor delays,Kasavanahalli,checkpoint,Traffic alert in Bangalore near Kasavanahalli. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'kasavanahalli', 'causing', 'minor', 'delays']",2
Mumbai,Peak hour traffic near Dadar. Plan accordingly.,peak hour traffic near dadar plan accordingly,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'dadar', 'plan', 'accordingly']",0
Hyderabad,Rain causing waterlogging near Jubilee Hills. Drive carefully!,rain causing waterlogging near jubilee hills drive carefully,Jubilee Hills,rain,Traffic alert in Hyderabad near Jubilee Hills. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'jubilee', 'hills', 'drive', 'carefully']",0
Hyderabad,"Road construction near Jubilee Hills, causing slow traffic.",road construction near jubilee hills causing slow traffic,Jubilee Hills,road_construction,Traffic alert in Hyderabad near Jubilee Hills. Cause: road_construction.,"['road', 'construction', 'near', 'jubilee', 'hills', 'causing', 'slow', 'traffic']",1
Mumbai,"Police checkpoint near Dadar, causing minor delays.",police checkpoint near dadar causing minor delays,Dadar,checkpoint,Traffic alert in Mumbai near Dadar. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'dadar', 'causing', 'minor', 'delays']",2
Mumbai,Peak hour traffic near Powai. Plan accordingly.,peak hour traffic near powai plan accordingly,Powai,other,Traffic alert in Mumbai near Powai. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'powai', 'plan', 'accordingly']",0
Mumbai,"Avoid Colaba if possible, traffic jam reported.",avoid colaba possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['avoid', 'colaba', 'possible', 'traffic', 'jam', 'reported']",2
Delhi,Dwarka route is experiencing high traffic volume.,dwarka route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['dwarka', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,Accident reported near Koramangala. Expect delays.,accident reported near koramangala expect delays,Koramangala,accident,Traffic alert in Bangalore near Koramangala. Cause: accident.,"['accident', 'reported', 'near', 'koramangala', 'expect', 'delays']",2
Delhi,"Police checkpoint near Chandni Chowk, causing minor delays.",police checkpoint near chandni chowk causing minor delays,,checkpoint,Traffic alert in Delhi near unknown location. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'chandni', 'chowk', 'causing', 'minor', 'delays']",2
Delhi,Karol Bagh route is experiencing high traffic volume.,karol bagh route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['karol', 'bagh', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,Accident reported near Chandni Chowk. Expect delays.,accident reported near chandni chowk expect delays,,accident,Traffic alert in Delhi near unknown location. Cause: accident.,"['accident', 'reported', 'near', 'chandni', 'chowk', 'expect', 'delays']",2
Mumbai,Peak hour traffic near Andheri. Plan accordingly.,peak hour traffic near andheri plan accordingly,Andheri,other,Traffic alert in Mumbai near Andheri. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'andheri', 'plan', 'accordingly']",0
Hyderabad,Vehicle breakdown near Gachibowli causing congestion.,vehicle breakdown near gachibowli causing congestion,Gachibowli,vehicle_breakdown,Traffic alert in Hyderabad near Gachibowli. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'gachibowli', 'causing', 'congestion']",0
Mumbai,"Police checkpoint near Bandra, causing minor delays.",police checkpoint near bandra causing minor delays,Bandra,checkpoint,Traffic alert in Mumbai near Bandra. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'bandra', 'causing', 'minor', 'delays']",2
Mumbai,"Road construction near Bandra, causing slow traffic.",road construction near bandra causing slow traffic,Bandra,road_construction,Traffic alert in Mumbai near Bandra. Cause: road_construction.,"['road', 'construction', 'near', 'bandra', 'causing', 'slow', 'traffic']",1
Hyderabad,"Traffic moving smoothly near Gachibowli, all clear!",traffic moving smoothly near gachibowli clear,Gachibowli,other,Traffic alert in Hyderabad near Gachibowli. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'gachibowli', 'clear']",2
Bangalore,Peak hour traffic near Kasavanahalli. Plan accordingly.,peak hour traffic near kasavanahalli plan accordingly,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'kasavanahalli', 'plan', 'accordingly']",0
Delhi,"Road construction near Connaught Place, causing slow traffic.",road construction near connaught place causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction.,"['road', 'construction', 'near', 'connaught', 'place', 'causing', 'slow', 'traffic']",1
Mumbai,"Traffic is heavy near Colaba, please take another route.",traffic heavy near colaba please take another route,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other.,"['traffic', 'heavy', 'near', 'colaba', 'please', 'take', 'another', 'route']",1
Delhi,Accident reported near Connaught Place. Expect delays.,accident reported near connaught place expect delays,,accident,Traffic alert in Delhi near unknown location. Cause: accident.,"['accident', 'reported', 'near', 'connaught', 'place', 'expect', 'delays']",2
Delhi,"Traffic moving smoothly near Saket, all clear!",traffic moving smoothly near saket clear,Saket,other,Traffic alert in Delhi near Saket. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'saket', 'clear']",2
Mumbai,"Avoid Andheri if possible, traffic jam reported.",avoid andheri possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['avoid', 'andheri', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,"Road construction near Marathahalli, causing slow traffic.",road construction near marathahalli causing slow traffic,Marathahalli,road_construction,Traffic alert in Bangalore near Marathahalli. Cause: road_construction.,"['road', 'construction', 'near', 'marathahalli', 'causing', 'slow', 'traffic']",1
Delhi,Vehicle breakdown near Saket causing congestion.,vehicle breakdown near saket causing congestion,Saket,vehicle_breakdown,Traffic alert in Delhi near Saket. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'saket', 'causing', 'congestion']",0
Delhi,Saket route is experiencing high traffic volume.,saket route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['saket', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,Accident reported near Dwarka. Expect delays.,accident reported near dwarka expect delays,Dwarka,accident,Traffic alert in Delhi near Dwarka. Cause: accident.,"['accident', 'reported', 'near', 'dwarka', 'expect', 'delays']",2
Mumbai,Rain causing waterlogging near Powai. Drive carefully!,rain causing waterlogging near powai drive carefully,Powai,rain,Traffic alert in Mumbai near Powai. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'powai', 'drive', 'carefully']",0
Mumbai,Rain causing waterlogging near Andheri. Drive carefully!,rain causing waterlogging near andheri drive carefully,Andheri,rain,Traffic alert in Mumbai near Andheri. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'andheri', 'drive', 'carefully']",0
Delhi,Rain causing waterlogging near Connaught Place. Drive carefully!,rain causing waterlogging near connaught place drive carefully,,rain,Traffic alert in Delhi near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'connaught', 'place', 'drive', 'carefully']",0
Hyderabad,Vehicle breakdown near Secunderabad causing congestion.,vehicle breakdown near secunderabad causing congestion,Secunderabad,vehicle_breakdown,Traffic alert in Hyderabad near Secunderabad. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'secunderabad', 'causing', 'congestion']",0
Bangalore,"Avoid Indiranagar if possible, traffic jam reported.",avoid indiranagar possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['avoid', 'indiranagar', 'possible', 'traffic', 'jam', 'reported']",2
Mumbai,"Traffic moving smoothly near Colaba, all clear!",traffic moving smoothly near colaba clear,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'colaba', 'clear']",2
Mumbai,"Traffic moving smoothly near Bandra, all clear!",traffic moving smoothly near bandra clear,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'bandra', 'clear']",2
Hyderabad,Gachibowli route is experiencing high traffic volume.,gachibowli route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['gachibowli', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,Vehicle breakdown near Electronic City causing congestion.,vehicle breakdown near electronic city causing congestion,Electronic City,vehicle_breakdown,Traffic alert in Bangalore near Electronic City. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'electronic', 'city', 'causing', 'congestion']",0
Mumbai,Accident reported near Bandra. Expect delays.,accident reported near bandra expect delays,Bandra,accident,Traffic alert in Mumbai near Bandra. Cause: accident.,"['accident', 'reported', 'near', 'bandra', 'expect', 'delays']",2
Bangalore,Rain causing waterlogging near Koramangala. Drive carefully!,rain causing waterlogging near koramangala drive carefully,Koramangala,rain,Traffic alert in Bangalore near Koramangala. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'koramangala', 'drive', 'carefully']",0
Bangalore,"Traffic moving smoothly near Koramangala, all clear!",traffic moving smoothly near koramangala clear,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'koramangala', 'clear']",2
Bangalore,Peak hour traffic near Indiranagar. Plan accordingly.,peak hour traffic near indiranagar plan accordingly,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'indiranagar', 'plan', 'accordingly']",0
Delhi,"Road construction near Karol Bagh, causing slow traffic.",road construction near karol bagh causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction.,"['road', 'construction', 'near', 'karol', 'bagh', 'causing', 'slow', 'traffic']",1
Delhi,"Traffic is heavy near Connaught Place, please take another route.",traffic heavy near connaught place please take another route,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'connaught', 'place', 'please', 'take', 'another', 'route']",1
Hyderabad,"Traffic is heavy near Hitech City, please take another route.",traffic heavy near hitech city please take another route,Hitech City,other,Traffic alert in Hyderabad near Hitech City. Cause: other.,"['traffic', 'heavy', 'near', 'hitech', 'city', 'please', 'take', 'another', 'route']",1
Mumbai,Accident reported near Andheri. Expect delays.,accident reported near andheri expect delays,Andheri,accident,Traffic alert in Mumbai near Andheri. Cause: accident.,"['accident', 'reported', 'near', 'andheri', 'expect', 'delays']",2
Bangalore,Rain causing waterlogging near Kasavanahalli. Drive carefully!,rain causing waterlogging near kasavanahalli drive carefully,,rain,Traffic alert in Bangalore near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'kasavanahalli', 'drive', 'carefully']",0
Hyderabad,Banjara Hills route is experiencing high traffic volume.,banjara hills route experiencing high traffic volume,Banjara Hills,other,Traffic alert in Hyderabad near Banjara Hills. Cause: other.,"['banjara', 'hills', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
